genre,name
Acoustic Blues,1
Adult Alternative,7
Adult Contemporary,8
Africa,2
African,2
Afro-Beat,2
Afro-Pop,2
Alternative,335
Alternative Country,38
Alternative Folk,6
Alternative Rap,13
Ambient,2
American Trad Rock,2
Americana,33
Anime,1
Asia,1
Avant-Garde,1
Baladas y Boleros,1
Big Band,1
Bluegrass,6
Blues,3
Blues-Rock,5
Blues/Folk,79
British Invasion,1
Britpop,2
CCM,1
Chelsea Settles,1
Christian & Gospel,13
Christian Metal,1
Christian Pop,5
Christian Rap,1
Christian Rock,3
Christmas: Pop,1
Classic Rock,61
Classical,15
College Rock,8
Comedy,3
Comedy/Spoken Word,17
Comics and Games,5
Contemporary Blues,2
Contemporary Country,80
Contemporary Folk,2
Contemporary Gospel,3
Contemporary R&B,19
Contemporary Singer/Songwriter,10
Cool,1
Country,645
Country Blues,3
Country Gospel,2
Crank Yankers,1
Crossover Jazz,1
Dance,38
Dance/Electronic,23
Dancehall,8
Death Metal/Black Metal,2
Delta Blues,1
Dirty South,6
Disco,11
Easy Listening,2
Easy Listening/Vocal,50
Electronic,61
Electronic/Dance,53
Electronica,9
Folk-Rock,13
French,3
Funk,8
Gangsta Rap,8
Geek: GameTrailers,2
German Pop,1
Glam Rock,1
Gospel,3
Goth Rock,2
Grunge,4
Hard Rock,25
Hardcore,2
Hardcore Rap,2
Headbangers Ball,1
Hip Hop,12
Hip-Hop,200
Hip-Hop/Rap,386
Honky Tonk,2
House,29
House Of Style: Collection,1
IDM/Experimental,4
Indian,3
Indian Pop,1
Indie Rock,80
Inspirational,59
Instrumental,3
Irish,3
Italian,3
J-Pop,1
Japan,1
Jazz,133
K-Pop,1
Latin,146
Latino,6
Logo Celebs,1
Logo Pop News,1
Lounge,2
MADE,1
Medieval,1
Metal,53
Minimalism,1
Misc,6
Modern Composition,2
Movies,5
Musicals,1
My Super Sweet 16,1
Neo-Soul,2
New Acoustic,1
New Wave,10
News,2
North American,1
Novelty,1
Old School Rap,2
Outlaw Country,13
Pop,384
Pop Latino,4
Pop/Rock,82
Post Bop/Contemporary,1
Praise & Worship,5
Prog-Rock/Art Rock,4
Psychedelic,2
Punk,14
R&B,46
R&B/Soul,217
Rap,37
Reggae,31
Reggaeton y Hip-Hop,4
Regional Mexicano,2
Rock,898
Rock & Roll,15
Romantic,1
Roots Reggae,2
Roots Rock,2
Salsa,2
Singer/Songwriter,48
Ska,1
Smooth Jazz,1
Soul,80
Soundtrack,1
Soundtracks/Musicals,16
Southern Rock,7
Spoken Word,2
Standards,1
Standup Comedy,1
Surf,1
Techno,4
Teen Pop,10
Teen Wolf,1
Tejano/TexMex,8
Traditional Country,18
Traditional Pop,3
Trance,3
True Life,2
Underground Rap,4
Urban Cowboy,1
VH1 Celebrity,4
VH1 Music Interviews,1
VH1 O Music Awards,1
Vocal,2
Vocal Jazz,1
Vocal Pop,2
West Coast Rap,7
World,9
World/International,48
World/Reggae,91
Worldbeat,1
Zydeco,2
syndicated_group_a,2
