ID,genre,name
0,Pop,Adele
1,Country,Joey + Rory
2,Pop Latino,Draaco Aventura
3,Pop,Justin Bieber
4,House,Peer van Mladen
5,Country,Chris Janson
6,Pop,One Direction
7,Hip-Hop/Rap,Drake
8,Country,Carrie Underwood
9,Singer/Songwriter,Ed Sheeran
10,Pop,Taylor Swift
11,Pop/Rock,SayWeCanFly
12,Pop,Selena Gomez
13,Pop,Chris Brown
14,Hip-Hop,Nicki Minaj
15,Pop,Fifth Harmony
16,Contemporary Country,Thomas Rhett
17,Rap,Eminem
18,Pop,Beyoncé
19,,Meghan Trainor
20,Alternative,Twenty One Pilots
21,Hip-Hop,Fetty Wap
22,Pop/Rock,5 Seconds Of Summer
23,Country,Jason Aldean
24,Contemporary Country,Luke Bryan
25,Country,Blake Shelton
26,Pop,Rihanna
27,Rock,Elvis Presley
28,Pop,Ariana Grande
29,Country,JD Shelburne
30,Hip-Hop/Rap,Lil Wayne
31,Pop,Demi Lovato
32,Pop/Rock,Maroon 5
33,,Sam Hunt
34,Country,George Strait
35,Hip-Hop/Rap,Wiz Khalifa
36,Country,Miranda Lambert
37,Hip-Hop,DJ Khaled
38,Rock,Porno for Pyros
39,Pop,Katy Perry
40,Pop,Miley Cyrus
41,Country,Tim McGraw
42,R&B/Soul,The Weeknd
43,Hip-Hop,Macklemore & Ryan Lewis
44,Pop,Ellie Goulding
45,Pop,Michael Jackson
46,Country,Rascal Flatts
47,Pop,Britney Spears
48,Country,Zac Brown Band
49,Hip-Hop/Rap,Hearty2Raw
50,Hip-Hop/Rap,Future
51,Country,Lady Antebellum
52,Alternative,Adam Levine
53,R&B/Soul,Janet Jackson
54,Country,Keith Urban
55,,Sam Smith
56,Pop,Jason Derulo
57,Pop/Rock,Tori Kelly
58,Gangsta Rap,2Pac
59,Pop,Ciara
60,Country,Old Dominion
61,Country,Randy Houser
62,Country,Eric Church
63,World/International,Shakira
64,Pop/Rock,Bruno Mars
65,Country,Little Big Town
66,Hip-Hop/Rap,Rick Ross
67,Country,Toby Keith
68,Country,Brian Collins
69,Pop,Sia
70,Country,Dixie Chicks
71,Hip-Hop/Rap,Kanye West
72,Country,Shania Twain
73,Pop,Enrique Iglesias
74,Country,The Band Perry
75,Country,Kellie Pickler
76,Country,Randy Owen
77,Contemporary Country,Kelsea Ballerini
78,Alternative,Lana Del Rey
79,Rock,Freddie Mercury
80,House,Martin Garrix
81,Country,Brett Eldredge
82,R&B/Soul,Trey Songz
83,Hip-Hop,Young Thug
84,Pop,Mariah Carey
85,Pop,Jennifer Lopez
86,Rock,Shawn Mendes
87,Alternative,Halsey
88,Indie Rock,The XX
89,Contemporary Country,Kurt Stevens
90,R&B/Soul,R. Kelly
91,Hip-Hop/Rap,50 Cent
92,Country,Kenny Chesney
93,Alternative,Linkin Park
94,Hip-Hop/Rap,Akon
95,Hard Rock,Avenged Sevenfold
96,R&B/Soul,John Legend
97,Country,Cole Swindell
98,Contemporary Country,Justin Moore
