,year,ranking,gross_Mil,name,avg_tick_price,avg_tick,total_tick,avg_gross,cities,shows,agency,genre
0,2020,1,71.2,Celine Dion,174.36,12376,408407,2157894,27.0,33.0,CDA Productions,Pop
1,2020,2,58.2,Trans-Siberian Orchestra,65.76,9733,885740,640094,56.0,91.0,WME,Rock
2,2020,3,40.3,Post Malone,134.26,13042,299969,1751069,23.0,23.0,United Talent Agency,Hip-Hop/Rap
3,2020,4,33.6,Eagles,258.83,12963,129632,3355265,4.0,10.0,Creative Artists Agency,Rock
4,2020,5,26.3,Dead & Company,427.9,7692,61537,3291458,3.0,8.0,WME,Rock
5,2020,6,25.5,Andrea Bocelli,185.64,12510,137614,2322429,10.0,11.0,Klassics Music Management Limited,World/International
6,2020,7,24.3,George Strait,170.55,15822,142397,2698419,5.0,9.0,The Erv Woolsey Agency,Country
7,2020,8,24.1,Aventura,136.72,12593,176301,1721690,6.0,14.0,Global Talent Booking,Latin
8,2020,9,22.5,Cher,124.85,11240,179838,1403270,14.0,16.0,Marshall Arts,Pop
9,2020,10,21.3,Jonas Brothers,103.75,13718,205774,1423277,14.0,15.0,United Talent Agency,Pop/Rock
10,2020,11,21.2,Ariana Grande,154.5,11434,137204,1766522,10.0,12.0,Creative Artists Agency,Pop
11,2020,12,16.1,Tool,112.57,11958,143499,1346188,12.0,12.0,WME,Rock
12,2020,13,15.2,The Lumineers,57.49,10992,263812,631980,20.0,24.0,Paradigm Talent Agency,Folk-Rock
13,2020,14,14.8,Billy Joel,118.45,20865,125190,2471504,6.0,6.0,Artist Group International,Rock
14,2020,15,14.2,Phish,86.33,14963,164592,1291713,5.0,11.0,Paradigm Talent Agency,Rock
15,2020,16,14.1,Aerosmith,213.0,4728,66188,1006999,3.0,14.0,Creative Artists Agency,Rock
16,2020,17,13.5,Marc Anthony,112.46,9987,119848,1123178,11.0,12.0,Cardenas Marketing Network,World/International
17,2020,18,10.9,Jeff Dunham,51.67,6035,211208,311816,34.0,35.0,Creative Artists Agency,Comedy
18,2020,19,10.8,Blake Shelton,80.11,11262,135144,902218,12.0,12.0,Paradigm Talent Agency,Country
19,2020,20,10.8,Daddy Yankee,71.72,13717,150888,983834,2.0,11.0,Cardenas Marketing Network,World/International
20,2020,21,10.5,KISS,101.63,7405,103667,752517,14.0,14.0,Creative Artists Agency,Rock
21,2020,22,10.3,Bad Bunny,94.62,13641,109124,1290628,8.0,8.0,United Talent Agency,World/International
22,2020,23,10.2,Miranda Lambert,73.88,8092,137567,597823,17.0,17.0,WME,Country
23,2020,24,9.72,Jerry Seinfeld,114.89,2728,84562,313401,17.0,31.0,ICM Partners,Comedy
24,2020,25,9.42,Mariah Carey,132.05,3965,71363,523534,9.0,18.0,Creative Artists Agency,Pop
25,2020,26,8.95,Mannheim Steamroller,63.14,2053,141686,129650,60.0,69.0,WME,Pop
26,2020,27,7.87,Jo Koy,58.01,4240,135667,245955,22.0,32.0,Creative Artists Agency,Comedy
27,2020,28,6.59,Garth Brooks,94.1,70000,70000,6586650,1.0,1.0,WME,Country
28,2020,29,6.59,Maroon 5,75.0,21955,87820,1646608,2.0,4.0,International Talent Booking,Pop/Rock
29,2020,30,6.36,Banda Sinaloense MS de Sergio Lizarraga,85.42,10644,74507,909159,5.0,7.0,Banda MS,World/International
30,2020,31,6.25,Madonna,250.45,2494,24943,624692,2.0,10.0,Live Nation Global Touring,Pop
31,2020,32,6.25,Luke Combs,43.92,12928,142210,567774,10.0,11.0,Creative Artists Agency,Country
32,2020,33,6.18,Jim Gaffigan,52.22,4082,118373,213141,21.0,29.0,United Talent Agency,Unknown
33,2020,34,6.01,Pentatonix,75.81,4958,79334,375902,11.0,16.0,Creative Artists Agency,Pop
34,2020,35,5.75,Gabriel Iglesias,58.58,4677,98207,273945,14.0,21.0,Creative Artists Agency,Comedy
35,2020,36,5.7,Backstreet Boys,70.81,13438,80626,951504,3.0,6.0,WME,Comedy
36,2020,37,5.52,Bert Kreischer,58.42,1390,94513,81196,41.0,68.0,United Talent Agency,Comedy
37,2020,38,5.51,Lady Gaga,337.43,5447,16340,1837884,1.0,3.0,Creative Artists Agency,Pop
38,2020,39,5.36,“Hits Deep Tour” / TobyMac,36.15,6443,148187,232915,22.0,23.0,Creative Artists Agency,Unknown
39,2020,40,5.24,“Drive-In Theater Tour Series”,32.38,1191,161924,38549,136.0,136.0,Awakening Events,Unknown
40,2020,41,4.94,Alejandro Fernández,56.15,9781,88026,549195,5.0,9.0,Star Productions S.C.,Latin
41,2020,42,4.93,Sebastian Maniscalco,75.37,2336,65413,176066,11.0,28.0,United Talent Agency,Comedy
42,2020,43,4.85,Five Finger Death Punch,64.99,5740,74615,373002,13.0,13.0,Artist Group International,Metal
43,2020,44,4.82,“Winter Jam” / Crowder,21.69,7165,222108,155411,31.0,31.0,Premier Productions,Unknown
44,2020,45,4.64,Illenium,50.5,5746,91941,290179,14.0,16.0,United Talent Agency,Unknown
45,2020,46,4.34,Deadmau5,51.2,4239,84780,217052,12.0,20.0,United Talent Agency,Dance
46,2020,47,4.28,Ricky Martin,91.9,6660,46623,612116,5.0,7.0,Creative Artists Agency,World/International
47,2020,48,4.27,Korn / Breaking Benjamin,59.02,6582,72400,388454,11.0,11.0,Creative Artists Agency,Metal
48,2020,49,4.23,Van Morrison,217.88,3882,19409,845779,2.0,5.0,Paradigm Talent Agency,Rock
49,2020,50,4.18,Willie Nelson,76.81,2475,54454,190127,19.0,22.0,Creative Artists Agency,Country
50,2020,51,4.16,Christina Aguilera,102.39,3697,40667,378539,7.0,11.0,Creative Artists Agency,Pop
51,2020,52,4.08,Shania Twain,128.99,3950,31599,509500,4.0,8.0,Creative Artists Agency,Country
52,2020,53,3.98,Jason Aldean,93.4,7103,42618,663438,4.0,6.0,WME,Country
53,2020,54,3.97,Brantley Gilbert,49.11,4755,80828,233493,17.0,17.0,Creative Artists Agency,Contemporary Country
54,2020,55,3.84,Shawn Mendes,78.42,12250,48998,960588,3.0,4.0,Paradigm Talent Agency,Rock
55,2020,56,3.83,Rex Orange County,39.15,3261,97817,127664,24.0,30.0,WME,Unknown
56,2020,57,3.76,Maná,94.38,13294,39881,1254599,3.0,3.0,Angelo Medina Group,Rock
57,2020,58,3.59,Shin Lim,76.69,1266,46840,97083,17.0,37.0,Celebrity Talent International,Unknown
58,2020,59,3.54,Zac Brown Band,67.09,8802,52813,590533,6.0,6.0,WME,Country
59,2020,60,3.38,Bob Dylan,108.82,2827,31099,307646,3.0,11.0,Creative Artists Agency,Rock
60,2020,61,3.38,Café Tacvba,38.45,17599,87997,676704,5.0,5.0,WME,Unknown
61,2020,62,3.37,MercyMe,45.15,5331,74636,240713,14.0,14.0,WME,Unknown
62,2020,63,3.27,“90’s Pop Tour” / OV7,43.05,15205,76026,654582,4.0,5.0,BOBO,Unknown
63,2020,64,3.18,Straight No Chaser,52.39,2245,60611,117602,21.0,27.0,ICM Partners,Unknown
64,2020,65,3.16,Little Big Town,75.98,2599,41584,197470,10.0,16.0,Creative Artists Agency,Country
65,2020,66,3.15,Jill Scott,92.21,2848,34173,262580,12.0,12.0,CLG - Cara Lewis Group,R&B/Soul
66,2020,67,3.05,Trevor Noah,61.95,7038,49268,436002,7.0,7.0,Creative Artists Agency,Unknown
67,2020,68,2.94,Rod Stewart,149.81,3273,19638,490332,3.0,6.0,Artist Group International,Rock
68,2020,69,2.83,The Chainsmokers,61.12,9250,46251,565418,5.0,5.0,Creative Artists Agency,House
69,2020,70,2.82,Slayer,85.32,11043,33128,942182,2.0,5.0,Pinnacle Entertainment,Metal
70,2020,71,2.81,Tedeschi Trucks Band,82.24,2441,34175,200748,5.0,3.0,Entourage Talent Assoc.,Unknown
71,2020,72,2.76,The Black Keys,84.94,10826,32478,919595,3.0,14.0,ICM Partners,Alternative
72,2020,73,2.73,Omarion,88.65,5141,30843,455681,6.0,3.0,Omarion Worldwide,R&B/Soul
73,2020,74,2.72,Ron White,61.24,1852,44449,113418,21.0,6.0,Creative Artists Agency,Unknown
74,2020,75,2.7,The Piano Guys,66.37,2551,40808,169269,14.0,24.0,ICM Partners,Unknown
75,2020,76,2.64,Seventeen,112.35,5885,23540,661195,4.0,16.0,PLEDIS Entertainment,Unknown
76,2020,77,2.61,Tyler Childers,45.39,2876,57526,130559,13.0,4.0,Paradigm Talent Agency,Unknown
77,2020,78,2.56,Widespread Panic,93.87,3407,27259,319846,3.0,20.0,Progressive Global Agency,Rock
78,2020,79,2.55,The Tenderloins,68.91,6170,37021,425216,4.0,8.0,United Talent Agency,Unknown
79,2020,80,2.54,“Lit AF Tour” / Martin Lawrence,70.84,8981,35924,636214,4.0,6.0,ICM Partners,Unknown
80,2020,81,2.53,Journey,161.76,3904,15616,631518,1.0,44.0,Creative Artists Agency,Rock
81,2020,82,2.53,Tame Impala,69.58,12097,36290,841673,2.0,3.0,Creative Artists Agency,Rock
82,2020,83,2.52,Dermot Kennedy,35.82,2605,70325,93307,26.0,27.0,Creative Artists Agency,Unknown
83,2020,84,2.44,Charlie Wilson,83.61,2086,29204,174409,12.0,14.0,ICM Partners,R&B
84,2020,85,2.34,Keith Urban,161.0,3635,14540,585219,2.0,4.0,Creative Artists Agency,Country
85,2020,86,2.27,Chris Tucker,59.75,2239,38066,133801,17.0,17.0,United Talent Agency,Unknown
