year,name,Date,City,State,Country,Venue,Revenue
2020,Celine Dion,1/8/2020,Jacksonville,Florida, USA,VyStar Veterans Memorial Arena,1912510
2020,Celine Dion,1/11/2020,Atlanta,GA, USA,State Farm Arena,2323672
2020,Celine Dion,1/13/2020,Nashville,TN, USA,Bridgestone Arena,2103662
2020,Celine Dion,1/15/2020,Tampa,Florida, USA,Amalie Arena,2254145
2020,Celine Dion,1/17/2020,Miami,Florida, USA,American Airlines Arena,5222838
2020,Celine Dion,1/21/2020,Charlotte,NC, USA,Spectrum Center,2161228
2020,Celine Dion,1/30/2020,San Antonio,TX, USA,AT&T Center,2021746
2020,Celine Dion,2/1/2020,Houston,TX, USA,Toyota Center,2127052
2020,Celine Dion,2/3/2020,Dallas,TX, USA,American Airlines Center,2657817
2020,Celine Dion,2/5/2020,Tulsa,OK, USA,BOK Center,1619919
2020,Celine Dion,2/7/2020,New Orleans,LA, USA,Smoothie King Center,2278207
2020,Celine Dion,2/9/2020,Memphis,TN, USA,FedExForum,1609727
2020,Celine Dion,2/11/2020,Raleigh,NC, USA,PNC Arena,2150963
2020,Celine Dion,2/18/2020,Montreal,Canada,Canada,Bell Centre,3587437
2020,Celine Dion,2/22/2020,Atlantic City,NJ, USA,Boardwalk Hall,2470305
2020,Celine Dion,2/24/2020,Baltimore,MD, USA,Royal Farms Arena,1591232
2020,Celine Dion,2/26/2020,Philadelphia,PA, USA,Wells Fargo Center,2011920
2020,Celine Dion,2/28/2020,Brooklyn,NY, USA,Barclays Center,5115713
2020,Celine Dion,3/3/2020,Uniondale,NY, USA,Nassau Veterans Memorial Coliseum,1985445
2020,Celine Dion,3/5/2020,Brooklyn,NY, USA,Barclays Center,1875568
2020,Celine Dion,3/7/2020,Newark,NJ, USA,Prudential Center,4330802
2019,The Rolling Stones,6/21/2019,Chicago,IL,USA,Soldier Field,21741564
2019,The Rolling Stones,6/29/2019,Oro-Medonte,Canada,Canada,Burl's Creek Event Grounds,0
2019,The Rolling Stones,7/3/2019,Landover,MI, USA,FedExField,9257202
2019,The Rolling Stones,7/7/2019,Foxborough,MA, USA,Gillette Stadium,11675732
2019,The Rolling Stones,7/15/2019,New Orleans,LA, USA,Mercedes-Benz Superdome,7163692
2019,The Rolling Stones,7/19/2019,Jacksonville,Florida, USA,TIAA Bank Field,10198392
2019,The Rolling Stones,7/23/2019,Philadelphia,PA, USA,Lincoln Financial Field,11741373
2019,The Rolling Stones,7/27/2019,Houston,TX, USA,NRG Stadium,11068397
2019,The Rolling Stones,8/1/2019,East Rutherford,NJ, USA,MetLife Stadium,25510438
2019,The Rolling Stones,8/10/2019,Denver,CO, USA,Broncos Stadium at Mile High,13494183
2019,The Rolling Stones,8/14/2019,Seattle,WA, USA,CenturyLink Field,11835818
2019,The Rolling Stones,8/18/2019,Santa Clara,CA, USA,Levi's Stadium,11496719
2019,The Rolling Stones,8/22/2019,Pasadena,CA, USA,Rose Bowl,13113319
2019,The Rolling Stones,8/26/2019,Glendale,CA, USA,State Farm Stadium,9747170
2019,The Rolling Stones,8/30/2019,Miami Gardens,FL, USA,Hard Rock Stadium,9762771
2018,Taylor Swift,5/8/2018,Glendale,CA, USA,University of Phoenix Stadium,7214478
2018,Taylor Swift,5/11/2018,Santa Clara,CA, USA,Levi's Stadium,14006963
