year,ranking,gross_Mil,name,avg_tick_price,avg_tick,total_tick,avg_gross,cities,shows,agency
2020,1,$71.20 ,Celine Dion,174.36,12376,408407,2157894,27,33,CDA Productions
2020,2,$58.20 ,Trans-Siberian Orchestra,65.76,9733,885740,640094,56,91,WME
2020,3,$40.30 ,Post Malone,134.26,13042,299969,1751069,23,23,United Talent Agency
2020,4,$33.60 ,Eagles,258.83,12963,129632,3355265,4,10,Creative Artists Agency
2020,5,$26.30 ,Dead & Company,427.9,7692,61537,3291458,3,8,WME
2020,6,$25.50 ,Andrea Bocelli,185.64,12510,137614,2322429,10,11,Klassics Music Management Limited
2020,7,$24.30 ,George Strait,170.55,15822,142397,2698419,5,9,The Erv Woolsey Agency
2020,8,$24.10 ,Aventura,136.72,12593,176301,1721690,6,14,Global Talent Booking
2020,9,$22.50 ,Cher,124.85,11240,179838,1403270,14,16,Marshall Arts
2020,10,$21.30 ,Jonas Brothers,103.75,13718,205774,1423277,14,15,United Talent Agency
2020,11,$21.20 ,Ariana Grande,154.5,11434,137204,1766522,10,12,Creative Artists Agency
2020,12,$16.10 ,Tool,112.57,11958,143499,1346188,12,12,WME
2020,13,$15.20 ,The Lumineers,57.49,10992,263812,631980,20,24,Paradigm Talent Agency
2020,14,$14.80 ,Billy Joel,118.45,20865,125190,2471504,6,6,Artist Group International
2020,15,$14.20 ,Phish,86.33,14963,164592,1291713,5,11,Paradigm Talent Agency
2020,16,$14.10 ,Aerosmith,213,4728,66188,1006999,3,14,Creative Artists Agency
2020,17,$13.50 ,Marc Anthony,112.46,9987,119848,1123178,11,12,Cardenas Marketing Network
2020,18,$10.90 ,Jeff Dunham,51.67,6035,211208,311816,34,35,Creative Artists Agency
2020,19,$10.80 ,Blake Shelton,80.11,11262,135144,902218,12,12,Paradigm Talent Agency
2020,20,$10.80 ,Daddy Yankee,71.72,13717,150888,983834,2,11,Cardenas Marketing Network
2020,21,$10.50 ,KISS,101.63,7405,103667,752517,14,14,Creative Artists Agency
2020,22,$10.30 ,Bad Bunny,94.62,13641,109124,1290628,8,8,United Talent Agency
2020,23,$10.20 ,Miranda Lambert,73.88,8092,137567,597823,17,17,WME
2020,24,$9.72 ,Jerry Seinfeld,114.89,2728,84562,313401,17,31,ICM Partners
2020,25,$9.42 ,Mariah Carey,132.05,3965,71363,523534,9,18,Creative Artists Agency
2020,26,$8.95 ,Mannheim Steamroller,63.14,2053,141686,129650,60,69,WME
2020,27,$7.87 ,Jo Koy,58.01,4240,135667,245955,22,32,Creative Artists Agency
2020,28,$6.59 ,Garth Brooks,94.1,70000,70000,6586650,1,1,WME
2020,29,$6.59 ,Maroon 5,75,21955,87820,1646608,2,4,International Talent Booking
2020,30,$6.36 ,Banda Sinaloense MS de Sergio Lizarraga,85.42,10644,74507,909159,5,7,Banda MS
2020,31,$6.25 ,Madonna,250.45,2494,24943,624692,2,10,Live Nation Global Touring
2020,32,$6.25 ,Luke Combs,43.92,12928,142210,567774,10,11,Creative Artists Agency
2020,33,$6.18 ,Jim Gaffigan,52.22,4082,118373,213141,21,29,United Talent Agency
2020,34,$6.01 ,Pentatonix,75.81,4958,79334,375902,11,16,Creative Artists Agency
2020,35,$5.75 ,Gabriel Iglesias,58.58,4677,98207,273945,14,21,Creative Artists Agency
2020,36,$5.70 ,Backstreet Boys,70.81,13438,80626,951504,3,6,WME
2020,37,$5.52 ,Bert Kreischer,58.42,1390,94513,81196,41,68,United Talent Agency
2020,38,$5.51 ,Lady Gaga,337.43,5447,16340,1837884,1,3,Creative Artists Agency
2020,39,$5.36 ,“Hits Deep Tour” / TobyMac,36.15,6443,148187,232915,22,23,Creative Artists Agency
2020,40,$5.24 ,“Drive-In Theater Tour Series”,32.38,1191,161924,38549,136,136,Awakening Events
2020,41,$4.94 ,Alejandro Fernández,56.15,9781,88026,549195,5,9,Star Productions S.C.
2020,42,$4.93 ,Sebastian Maniscalco,75.37,2336,65413,176066,11,28,United Talent Agency
2020,43,$4.85 ,Five Finger Death Punch,64.99,5740,74615,373002,13,13,Artist Group International
2020,44,$4.82 ,“Winter Jam” / Crowder,21.69,7165,222108,155411,31,31,Premier Productions
2020,45,$4.64 ,Illenium,50.5,5746,91941,290179,14,16,United Talent Agency
2020,46,$4.34 ,Deadmau5,51.2,4239,84780,217052,12,20,United Talent Agency
2020,47,$4.28 ,Ricky Martin,91.9,6660,46623,612116,5,7,Creative Artists Agency
2020,48,$4.27 ,Korn / Breaking Benjamin,59.02,6582,72400,388454,11,11,Creative Artists Agency
2020,49,$4.23 ,Van Morrison,217.88,3882,19409,845779,2,5,Paradigm Talent Agency
2020,50,$4.18 ,Willie Nelson,76.81,2475,54454,190127,19,22,Creative Artists Agency
2020,51,$4.16 ,Christina Aguilera,102.39,3697,40667,378539,7,11,Creative Artists Agency
2020,52,$4.08 ,Shania Twain,128.99,3950,31599,509500,4,8,Creative Artists Agency
2020,53,$3.98 ,Jason Aldean,93.4,7103,42618,663438,4,6,WME
2020,54,$3.97 ,Brantley Gilbert,49.11,4755,80828,233493,17,17,Creative Artists Agency
2020,55,$3.84 ,Shawn Mendes,78.42,12250,48998,960588,3,4,Paradigm Talent Agency
2020,56,$3.83 ,Rex Orange County,39.15,3261,97817,127664,24,30,WME
2020,57,$3.76 ,Maná,94.38,13294,39881,1254599,3,3,Angelo Medina Group
2020,58,$3.59 ,Shin Lim,76.69,1266,46840,97083,17,37,Celebrity Talent International
2020,59,$3.54 ,Zac Brown Band,67.09,8802,52813,590533,6,6,WME
2020,60,$3.38 ,Bob Dylan,108.82,2827,31099,307646,3,11,Creative Artists Agency
2020,61,$3.38 ,Café Tacvba,38.45,17599,87997,676704,5,5,WME
2020,62,$3.37 ,MercyMe,45.15,5331,74636,240713,14,14,WME
2020,63,$3.27 ,“90’s Pop Tour” / OV7,43.05,15205,76026,654582,4,5,BOBO
2020,64,$3.18 ,Straight No Chaser,52.39,2245,60611,117602,21,27,ICM Partners
2020,65,$3.16 ,Little Big Town,75.98,2599,41584,197470,10,16,Creative Artists Agency
2020,66,$3.15 ,Jill Scott,92.21,2848,34173,262580,12,12,CLG - Cara Lewis Group
2020,67,$3.05 ,Trevor Noah,61.95,7038,49268,436002,7,7,Creative Artists Agency
2020,68,$2.94 ,Rod Stewart,149.81,3273,19638,490332,3,6,Artist Group International
2020,69,$2.83 ,The Chainsmokers,61.12,9250,46251,565418,5,5,Creative Artists Agency
2020,70,$2.82 ,Slayer,85.32,11043,33128,942182,2,5,Pinnacle Entertainment
