,year,name,Date,City,State,Country,Venue,Revenue,lat,lng
0,2020,Celine Dion,1/8/2020,Jacksonville,Florida, USA,VyStar Veterans Memorial Arena,1912510,30.3321838,-81.65565099999999
1,2020,Celine Dion,1/11/2020,Atlanta,GA, USA,State Farm Arena,2323672,33.7489954,-84.3879824
2,2020,Celine Dion,1/13/2020,Nashville,TN, USA,Bridgestone Arena,2103662,36.1626638,-86.7816016
3,2020,Celine Dion,1/15/2020,Tampa,Florida, USA,Amalie Arena,2254145,27.950575,-82.4571776
4,2020,Celine Dion,1/17/2020,Miami,Florida, USA,American Airlines Arena,5222838,25.7616798,-80.1917902
5,2020,Celine Dion,1/21/2020,Charlotte,NC, USA,Spectrum Center,2161228,35.2270869,-80.8431267
6,2020,Celine Dion,1/30/2020,San Antonio,TX, USA,AT&T Center,2021746,29.4241219,-98.49362819999999
7,2020,Celine Dion,2/1/2020,Houston,TX, USA,Toyota Center,2127052,29.7604267,-95.3698028
8,2020,Celine Dion,2/3/2020,Dallas,TX, USA,American Airlines Center,2657817,32.7766642,-96.79698789999999
9,2020,Celine Dion,2/5/2020,Tulsa,OK, USA,BOK Center,1619919,36.1539816,-95.99277500000001
10,2020,Celine Dion,2/7/2020,New Orleans,LA, USA,Smoothie King Center,2278207,29.95106579999999,-90.0715323
11,2020,Celine Dion,2/9/2020,Memphis,TN, USA,FedExForum,1609727,35.1495343,-90.0489801
12,2020,Celine Dion,2/11/2020,Raleigh,NC, USA,PNC Arena,2150963,35.7795897,-78.6381787
13,2020,Celine Dion,2/18/2020,Montreal,Canada,Canada,Bell Centre,3587437,45.5016889,-73.567256
14,2020,Celine Dion,2/22/2020,Atlantic City,NJ, USA,Boardwalk Hall,2470305,39.3642834,-74.4229266
15,2020,Celine Dion,2/24/2020,Baltimore,MD, USA,Royal Farms Arena,1591232,39.2903848,-76.6121893
16,2020,Celine Dion,2/26/2020,Philadelphia,PA, USA,Wells Fargo Center,2011920,39.9525839,-75.1652215
17,2020,Celine Dion,2/28/2020,Brooklyn,NY, USA,Barclays Center,5115713,40.6781784,-73.9441579
18,2020,Celine Dion,3/3/2020,Uniondale,NY, USA,Nassau Veterans Memorial Coliseum,1985445,40.700611,-73.5931669
19,2020,Celine Dion,3/5/2020,Brooklyn,NY, USA,Barclays Center,1875568,40.6781784,-73.9441579
20,2020,Celine Dion,3/7/2020,Newark,NJ, USA,Prudential Center,4330802,40.735657,-74.1723667
21,2019,The Rolling Stones,6/21/2019,Chicago,IL,USA,Soldier Field,21741564,41.8781136,-87.6297982
22,2019,The Rolling Stones,6/29/2019,Oro-Medonte,Canada,Canada,Burl's Creek Event Grounds,0,44.5588002,-79.65744959999999
23,2019,The Rolling Stones,7/3/2019,Landover,MI, USA,FedExField,9257202,38.9340002,-76.8966397
24,2019,The Rolling Stones,7/7/2019,Foxborough,MA, USA,Gillette Stadium,11675732,42.0653812,-71.2478251
25,2019,The Rolling Stones,7/15/2019,New Orleans,LA, USA,Mercedes-Benz Superdome,7163692,29.95106579999999,-90.0715323
26,2019,The Rolling Stones,7/19/2019,Jacksonville,Florida, USA,TIAA Bank Field,10198392,30.3321838,-81.65565099999999
27,2019,The Rolling Stones,7/23/2019,Philadelphia,PA, USA,Lincoln Financial Field,11741373,39.9525839,-75.1652215
28,2019,The Rolling Stones,7/27/2019,Houston,TX, USA,NRG Stadium,11068397,29.7604267,-95.3698028
29,2019,The Rolling Stones,8/1/2019,East Rutherford,NJ, USA,MetLife Stadium,25510438,40.833989,-74.0970865
30,2019,The Rolling Stones,8/10/2019,Denver,CO, USA,Broncos Stadium at Mile High,13494183,39.7392358,-104.990251
31,2019,The Rolling Stones,8/14/2019,Seattle,WA, USA,CenturyLink Field,11835818,47.6062095,-122.3320708
32,2019,The Rolling Stones,8/18/2019,Santa Clara,CA, USA,Levi's Stadium,11496719,37.3541079,-121.9552356
33,2019,The Rolling Stones,8/22/2019,Pasadena,CA, USA,Rose Bowl,13113319,34.1477849,-118.1445155
34,2019,The Rolling Stones,8/26/2019,Glendale,CA, USA,State Farm Stadium,9747170,34.1425078,-118.255075
35,2019,The Rolling Stones,8/30/2019,Miami Gardens,FL, USA,Hard Rock Stadium,9762771,25.9420377,-80.2456045
36,2018,Taylor Swift,5/8/2018,Glendale,CA, USA,University of Phoenix Stadium,7214478,34.1425078,-118.255075
37,2018,Taylor Swift,5/11/2018,Santa Clara,CA, USA,Levi's Stadium,14006963,37.3541079,-121.9552356
38,2018,Taylor Swift,5/18/2018,Pasadena,CA, USA,Rose Bowl,16251980,34.1477849,-118.1445155
39,2018,Taylor Swift,5/22/2018,Seattle,WA, USA,CenturyLink Field,8672219,47.6062095,-122.3320708
40,2018,Taylor Swift,5/25/2018,Denver,CO, USA,Sports Authority Field at Mile High,7926366,39.7392358,-104.990251
41,2018,Taylor Swift,6/1/2018,Chicago,IL, USA,Soldier Field,14576697,41.8781136,-87.6297982
42,2018,Taylor Swift,6/30/2018,Louisville,KY, USA,Cardinal Stadium,4928219,38.2526647,-85.7584557
43,2018,Taylor Swift,7/7/2018,Columbus,OH, USA,Ohio Stadium,6606529,39.9611755,-82.99879419999999
