Artist,,,Date,Sum of Capacity,Sum of Gross
U2,,,,"2,133,245","$252,333,780.00 "
",07/18/15,",,,,"149,942","$19,474,285.00 "
",05/20/17,",,,,"123,164","$15,784,565.00 "
",06/28/17,",,,,"110,642","$14,568,805.00 "
",10/03/17,",,,,"117,098","$13,860,111.00 "
",06/03/17,",,,,"105,078","$13,435,925.00 "
",06/24/15,",,,,"95,070","$11,347,305.00 "
",05/26/15,",,,,"83,505","$9,886,540.00 "
",07/10/15,",,,,"68,183","$8,469,855.00 "
",06/12/15,",,,,"80,911","$7,157,271.00 "
",06/25/17,",,,,"55,231","$6,881,340.00 "
",09/22/17,",,,,"54,221","$6,469,130.00 "
",06/20/17,",,,,"49,827","$6,286,385.00 "
",05/17/17,",,,,"50,072","$6,268,805.00 "
",06/18/17,",,,,"56,570","$6,259,880.00 "
",05/14/17,",,,,"57,009","$6,249,670.00 "
",06/14/17,",,,,"52,958","$6,125,415.00 "
",05/26/17,",,,,"49,807","$6,044,330.00 "
",09/10/17,",,,,"51,731","$5,970,055.00 "
",06/11/17,",,,,"48,494","$5,923,665.00 "
",05/24/17,",,,,"47,669","$5,889,005.00 "
",07/01/17,",,,,"51,849","$5,582,965.00 "
",06/23/17,",,,,"52,704","$4,977,956.00 "
",09/03/17,",,,,"42,905","$4,936,605.00 "
",06/16/17,",,,,"45,491","$4,810,535.00 "
",09/08/17,",,,,"43,386","$4,698,100.00 "
",07/06/15,",,,,"38,364","$4,554,903.00 "
",05/18/15,",,,,"35,398","$4,385,885.00 "
",05/12/17,",,,,"45,436","$4,338,208.00 "
",06/07/17,",,,,"41,413","$4,273,920.00 "
",09/05/17,",,,,"41,106","$4,269,245.00 "
",09/12/17,",,,,"39,593","$4,200,160.00 "
",09/19/17,",,,,"42,814","$4,169,215.00 "
",05/22/15,",,,,"34,626","$3,992,985.00 "
",09/14/17,",,,,"34,536","$3,873,405.00 "
",05/14/15,",,,,"36,442","$3,802,416.00 "
",06/06/15,,",,,,"$3,114,935.00",
Guns N’ Roses,,,,"1,590,151","$182,635,674.00 "
",07/23/16,",,,,"88,637","$11,137,615.00 "
",04/19/16,",,,,"131,198","$9,328,859.00 "
",08/18/16,",,,,"73,685","$8,990,756.00 "
",07/01/16,",,,,"69,962","$8,395,789.00 "
",07/19/16,",,,,"63,595","$8,023,591.00 "
",04/08/16,",,,,"28,849","$6,265,076.00 "
",10/11/17,",,,,"41,818","$6,164,080.00 "
",08/05/16,",,,,"49,177","$5,729,671.00 "
",07/29/16,",,,,"40,702","$5,581,274.00 "
",08/09/16,",,,,"38,017","$5,574,701.00 "
",08/22/16,",,,,"49,458","$5,430,089.00 "
",07/16/16,",,,,"48,016","$5,351,753.00 "
",07/30/17,",,,,"47,072","$5,034,807.00 "
",08/12/16,",,,,"39,870","$5,012,092.00 "
",08/30/17,",,,,"44,393","$4,788,993.00 "
",07/14/16,",,,,"43,533","$4,650,927.00 "
",06/23/16,",,,,"39,847","$4,642,797.00 "
",07/09/16,",,,,"41,580","$4,385,263.00 "
",07/27/16,",,,,"40,403","$4,255,091.00 "
",06/26/16,",,,,"31,846","$4,253,055.00 "
",08/03/16,",,,,"34,581","$4,043,899.00 "
",09/01/17,",,,,"39,385","$4,039,943.00 "
",08/15/16,",,,,"36,306","$3,932,053.00 "
",08/08/17,",,,,"35,379","$3,862,832.00 "
",08/02/17,",,,,"25,695","$3,730,662.00 "
",07/12/16,",,,,"33,617","$3,678,541.00 "
",09/08/17,",,,,"36,179","$3,586,506.00 "
",08/13/17,",,,,"29,122","$3,527,333.00 "
",08/27/17,",,,,"34,434","$3,464,452.00 "
",11/25/17,",,,,"27,012","$3,398,867.00 "
",07/31/16,",,,,"25,573","$3,329,048.00 "
",10/29/17,",,,,"25,724","$3,290,543.00 "
",08/11/17,",,,,"30,562","$3,263,999.00 "
",07/27/17,",,,,"31,880","$3,256,986.00 "
",09/06/17,",,,,"34,801","$3,112,504.00 "
",06/29/16,",,,,"27,502","$3,090,749.00 "
",08/24/17,",,,,"30,741","$3,030,478.00 "
"Taylor Swift,,",,,,"1,497,173","$173,807,410.00 "
",07/10/15,",,,,"110,106","$13,423,858.00 "
",08/14/15,",,,,"102,140","$13,031,046.00 "
",07/24/15,",,,,"116,850","$12,533,166.00 "
",06/12/15,",,,,"101,052","$11,987,816.00 "
",07/18/15,",,,,"110,110","$11,469,887.00 "
",07/13/15,",,,,"85,014","$9,730,596.00 "
",08/21/15,",,,,"70,565","$8,961,681.00 "
",10/02/15,",,,,"99,284","$8,592,144.00 "
",10/17/15,",,,,"62,630","$7,396,733.00 "
",10/31/15,",,,,"56,987","$6,202,515.00 "
",08/08/15,",,,,"55,711","$6,050,643.00 "
",10/24/15,",,,,"56,046","$6,034,846.00 "
",05/30/15,",,,,"50,703","$5,996,690.00 "
",06/06/15,",,,,"54,801","$5,836,926.00 "
",09/11/15,",,,,"45,126","$5,514,863.00 "
",08/29/15,",,,,"44,710","$5,475,237.00 "
",09/09/15,",,,,"40,122","$5,202,196.00 "
",05/22/15,",,,,"50,227","$4,119,670.00 "
",08/01/15,",,,,"41,463","$4,081,822.00 "
",09/28/15,",,,,"29,688","$3,452,940.00 "
",09/17/15,",,,,"29,936","$3,369,693.00 "
",09/25/15,",,,,"28,918","$3,354,844.00 "
",10/09/15,,",,,,"$3,121,421.00",
",08/17/15,,",,,,"$3,029,628.00",
",09/21/15,",,,,"27,858","$2,967,558.00 "
",09/05/15,",,,,"27,126","$2,868,991.00 "
"Beyoncé,,",,,,"1,370,517","$169,443,172.00 "
",06/07/16,",,,,"73,486","$11,461,340.00 "
",05/27/16,",,,,"89,270","$11,279,890.00 "
",05/14/16,",,,,"55,736","$7,138,685.00 "
",09/14/16,",,,,"47,440","$6,736,700.00 "
",05/16/16,",,,,"43,722","$6,423,530.00 "
",05/07/16,",,,,"43,871","$6,412,280.00 "
",10/07/16,",,,,"50,703","$6,064,625.00 "
",05/12/16,",,,,"45,885","$6,028,115.00 "
",06/03/16,",,,,"48,304","$6,008,698.00 "
",05/09/16,",,,,"42,235","$5,954,775.00 "
",05/01/16,",,,,"46,321","$5,801,725.00 "
",06/10/16,",,,,"47,819","$5,770,660.00 "
",06/05/16,",,,,"47,223","$5,563,435.00 "
",06/14/16,",,,,"41,524","$5,471,395.00 "
",09/26/16,",,,,"45,126","$5,374,615.00 "
",09/24/16,",,,,"46,474","$5,349,960.00 "
",04/27/16,",,,,"36,212","$5,270,216.00 "
",10/02/16,",,,,"43,013","$5,182,345.00 "
",05/18/16,",,,,"45,998","$5,152,373.00 "
",09/22/16,",,,,"42,635","$5,107,065.00 "
",09/17/16,",,,,"44,015","$4,898,690.00 "
",05/03/16,",,,,"38,292","$4,810,620.00 "
",04/29/16,",,,,"40,818","$4,803,295.00 "
",05/25/16,",,,,"45,009","$4,605,522.00 "
",05/23/16,",,,,"37,203","$4,174,270.00 "
",09/10/16,",,,,"38,256","$3,953,445.00 "
",05/31/16,",,,,"36,325","$3,927,805.00 "
",05/20/16,",,,,"36,247","$3,888,776.00 "
",06/12/16,",,,,"26,662","$3,474,695.00 "
",09/29/16,",,,,"44,693","$3,353,627.00 "
"Kenny Chesney,,",,,,"1,071,582","$95,376,119.00 "
",08/25/17,",,,,"121,642","$12,095,688.00 "
",08/25/16,",,,,"121,399","$11,455,368.00 "
",07/11/15,",,,,"55,131","$5,952,700.00 "
",08/20/16,",,,,"56,292","$5,736,232.00 "
",05/30/15,",,,,"55,381","$5,135,827.00 "
",08/22/15,",,,,"49,285","$4,903,524.00 "
",06/18/16,",,,,"41,342","$4,812,602.00 "
",06/25/16,",,,,"48,322","$4,634,450.00 "
",05/09/15,",,,,"43,675","$4,064,335.00 "
",07/16/16,",,,,"51,293","$3,887,143.00 "
",08/13/16,",,,,"45,938","$3,807,637.00 "
",06/06/15,",,,,"43,630","$3,776,207.00 "
",03/26/15,",,,,"57,364","$3,746,688.00 "
",07/23/16,",,,,"48,195","$3,739,539.00 "
",08/06/16,",,,,"45,530","$3,728,449.00 "
",06/13/15,",,,,"45,857","$3,643,658.00 "
",07/02/16,",,,,"47,111","$3,495,589.00 "
",05/07/16,",,,,"47,922","$3,412,908.00 "
",06/04/16,",,,,"46,273","$3,347,575.00 "
"Kenny Chesney/Jason Aldean,,",,,,"626,081","$59,750,839.00 "
",08/28/15,",,,,"120,206","$11,624,917.00 "
",07/18/15,",,,,"84,479","$7,816,355.00 "
",08/15/15,",,,,"58,642","$6,067,017.00 "
",06/20/15,",,,,"53,363","$5,867,106.00 "
",08/01/15,",,,,"57,368","$5,394,025.00 "
",08/08/15,",,,,"54,674","$5,279,591.00 "
",05/02/15,",,,,"46,549","$4,765,582.00 "
",06/27/15,",,,,"49,680","$4,428,366.00 "
",07/25/15,",,,,"53,864","$4,297,535.00 "
",05/16/15,",,,,"47,256","$4,210,345.00 "
"Coldplay,,",,,,"1,407,078","$140,866,373.00 "
",04/15/16,",,,,"195,192","$11,363,862.00 "
",08/20/16,",,,,"114,214","$10,914,390.00 "
",07/16/16,",,,,"97,938","$10,071,884.00 "
",07/23/16,",,,,"92,882","$9,609,683.00 "
",08/21/17,",,,,"94,857","$8,705,531.00 "
",08/01/17,",,,,"52,677","$7,351,793.00 "
",07/30/16,",,,,"53,017","$6,265,175.00 "
",10/06/17,",,,,"64,442","$6,051,529.00 "
",08/28/17,",,,,"46,126","$6,025,202.00 "
",08/04/17,",,,,"49,808","$6,014,866.00 "
",09/03/16,",,,,"49,238","$5,990,659.00 "
",10/08/17,",,,,"54,279","$5,955,986.00 "
",08/17/17,",,,,"50,418","$5,658,593.00 "
",08/06/16,",,,,"53,011","$5,272,000.00 "
",10/04/17,",,,,"48,341","$5,265,835.00 "
",09/29/17,",,,,"43,896","$4,975,370.00 "
",09/23/17,",,,,"47,971","$4,928,693.00 "
",08/27/16,",,,,"51,358","$4,842,037.00 "
",08/06/17,",,,,"44,337","$4,696,193.00 "
",08/08/17,",,,,"35,731","$4,039,187.00 "
",08/12/17,",,,,"39,405","$3,904,518.00 "
",09/26/17,",,,,"27,940","$2,963,387.00 "
"The Rolling Stones,,",,,,"760,433","$129,974,371.00 "
",03/14/16,",,,,"117,567","$13,213,297.00 "
",06/12/15,",,,,"47,262","$9,367,879.00 "
",06/06/15,",,,,"47,535","$9,294,552.00 "
",06/20/15,",,,,"54,136","$9,125,120.00 "
",07/11/15,",,,,"49,552","$8,634,557.00 "
",05/24/15,",,,,"40,944","$8,465,082.00 "
