Artist Facility/Promoter,Date,Sum of Tickets Sold Capacity,Sum of Gross
Taylor Swift,5/8/18,"59,157","$7,214,478.00"
,5/11/18,"107,550","$14,006,963.00"
,5/18/18,"118,084","$16,251,980.00"
,5/22/18,"56,021","$8,672,219.00"
,5/25/18,"57,140","$7,926,365.00"
,6/1/18,"105,208","$14,576,697.00"
,6/30/18,"52,138","$4,928,219.00"
,7/10/18,"95,672","$11,396,003.00"
,7/13/18,"107,378","$11,951,046.00"
,7/17/18,"51,323","$5,148,757.00"
,7/20/18,"165,654","$22,031,385.00"
,7/26/18,"174,764","$21,779,845.00"
,8/3/18,"100,309","$11,163,674.00"
,8/10/18,"116,745","$18,089,414.00"
,8/14/18,"55,909","$7,244,264.00"
,8/25/18,"56,112","$9,007,179.00"
,8/31/18,"98,773","$10,242,023.00"
,9/18/18,"47,831","$4,884,054.00"
,9/29/18,"53,800","$9,530,275.00"
,10/5/18,"105,002","$15,006,157.00"
,,"1,784,570","$231,050,997.00"
,7/7/18,"62,897","$6,606,528.00"
,8/7/18,"56,445","$6,230,876.00"
,8/18/18,"47,818","$7,072,163.00"
,8/28/18,"49,464","$6,597,851.00"
,9/8/18,"58,611","$6,730,137.00"
,9/15/18,"55,729","$6,531,245.00"
,9/22/18,"53,172","$6,491,546.00"
,,"384,136","$46,260,346.00"
,,"2,168,706","$277,311,343.00"
Jay-Z/Beyoncé,7/27/18,"81,964","$11,437,578.00"
,8/2/18,"99,755","$13,886,416.00"
,8/8/18,"32,851","$3,627,417.00"
,8/10/18,"86,603","$12,303,099.00"
,8/13/18,"43,699","$5,310,375.00"
,8/25/18,"105,170","$14,074,692.00"
,8/29/18,"39,423","$4,749,201.00"
,9/13/18,"40,939","$5,437,146.00"
,9/15/18,"80,022","$11,056,836.00"
,9/22/18,"106,550","$13,464,062.00"
,9/27/18,"42,953","$5,445,486.00"
,9/29/18,"47,235","$7,548,207.00"
,10/4/18,"40,718","$4,888,993.00"
,,"847,882","$113,229,508.00"
,7/25/18,"38,931","$4,194,375.00"
,7/30/18,"54,870","$6,709,691.00"
,8/5/18,"47,667","$6,159,979.00"
,8/18/18,"38,053","$4,262,075.00"
,8/21/18,"38,057","$3,920,225.00"
,8/23/18,"35,353","$4,058,910.00"
,8/31/18,"44,310","$6,295,535.00"
,9/11/18,"41,626",$0.00
,9/19/18,"37,174","$4,426,568.00"
,,"376,041","$40,027,358.00"
,10/2/18,"39,032","$4,337,671.00"
,,"39,032","$4,337,671.00"
,,"1,262,955","$157,594,537.00"
Eagles,3/23/18,"27,736","$5,455,167.00"
,5/10/18,"25,207","$3,465,061.00"
,6/15/18,"40,826","$7,709,228.00"
,6/23/18,"52,233","$10,143,489.00"
,9/12/18,"37,702","$5,803,449.00"
,9/20/18,"36,958","$7,118,212.00"
,9/22/18,"40,707","$8,155,054.00"
,10/9/18,"25,791","$4,549,096.00"
,,"287,160","$52,398,756.00"
,7/15/18,"28,757","$4,191,651.00"
,7/20/18,"36,599","$4,604,059.00"
,,"65,356","$8,795,710.00"
,7/26/18,"32,614","$5,335,266.00"
,7/28/18,"40,306","$7,385,580.00"
,,"72,920","$12,720,846.00"
,4/14/18,"45,853","$8,374,832.00"
,6/30/18,"39,991","$7,625,398.00"
,,"85,844","$16,000,230.00"
,4/21/18,"37,598","$6,063,710.00"
,6/28/18,"48,122","$9,055,130.00"
,,"85,720","$15,118,840.00"
,,"597,000","$105,034,382.00"
Ed Sheeran,8/25/18,"55,891","$4,932,401.00"
,8/30/18,"98,461","$8,459,818.00"
,9/6/18,"41,522","$3,726,270.00"
,9/14/18,"110,238","$9,832,549.00"
,9/21/18,"107,500","$11,220,207.00"
,9/27/18,"54,292","$5,161,682.00"
,10/24/18,"37,288","$3,390,498.00"
,11/10/18,"50,906","$5,021,395.00"
,,"556,098","$51,744,820.00"
,10/4/18,"47,263","$4,339,349.00"
,10/6/18,"45,888","$3,954,931.00"
,10/13/18,"51,324","$4,008,747.00"
,10/20/18,"49,359","$4,512,421.00"
,10/27/18,"46,249","$4,528,560.00"
,11/3/18,"39,354","$3,985,595.00"
,11/7/18,"51,120","$4,197,412.00"
,,"330,557","$29,527,015.00"
,8/21/18,"38,647","$4,199,073.00"
,9/29/18,"41,014","$4,169,873.00"
,,"79,661","$8,368,946.00"
,8/18/18,"62,321","$6,315,595.00"
,9/8/18,"47,804","$4,481,289.00"
,,"110,125","$10,796,884.00"
,,"1,076,441","$100,437,665.00"
Kenny Chesney,4/28/18,"43,526","$5,136,660.00"
,5/5/18,"48,255","$4,999,184.00"
,5/26/18,"51,312","$5,068,880.00"
,7/14/18,"57,582","$4,981,733.00"
,7/21/18,"44,529","$4,753,888.00"
,8/4/18,"48,826","$4,968,562.00"
,8/11/18,"55,182","$5,471,438.00"
,8/24/18,"121,714","$11,631,679.00"
,,"470,926","$47,012,024.00"
,6/9/18,"55,238","$6,384,845.00"
,,"55,238","$6,384,845.00"
,4/21/18,"55,292","$6,245,650.00"
,5/19/18,"46,274","$3,770,669.00"
,6/2/18,"48,856","$4,603,691.00"
,6/30/18,"51,553","$4,442,006.00"
,7/7/18,"48,889",$0.00
,7/28/18,"52,189","$5,751,195.00"
,8/18/18,"58,642","$6,858,291.00"
,,"361,695","$31,671,502.00"
,,"887,859","$85,068,371.00"
