name,date,tickets,gross,month,year
Paul McCartney,1/9/2015,124062,7424081,1,2015
Paul McCartney,1/22/2015,68745,5153749,1,2015
Paul McCartney,2/5/2015,101863,6729532,2,2015
Billy Joel,3/20/2015,37064,3924448,3,2015
Kenny Chesney,3/26/2015,43630,3776207,3,2015
Paul McCartney,4/12/2015,74386,5740061,4,2015
"Kenny Chesney/Jason Aldean,,",5/2/2015,54674,5279591,5,2015
Paul McCartney,5/7/2015,121832,7395670,5,2015
Kenny Chesney,5/9/2015,48322,4634450,5,2015
U2,5/14/2015,34536,3873405,5,2015
"Kenny Chesney/Jason Aldean,,",5/16/2015,53864,4297535,5,2015
U2,5/18/2015,38364,4554903,5,2015
Taylor Swift,5/22/2015,40122,5202196,5,2015
U2,5/22/2015,42814,4169215,5,2015
The Rolling Stones,5/24/2015,49552,8634557,5,2015
U2,5/26/2015,95070,11347305,5,2015
The Rolling Stones,5/30/2015,40428,7947996,5,2015
Taylor Swift,5/30/2015,56046,6034846,5,2015
Kenny Chesney,5/30/2015,56292,5736232,5,2015
The Rolling Stones,6/3/2015,47242,8416049,6,2015
U2,6/6/2015,36442,3802416,6,2015
Luke Bryan,6/6/2015,44004,3760515,6,2015
Kenny Chesney,6/6/2015,45938,3807637,6,2015
The Rolling Stones,6/6/2015,47262,9367879,6,2015
Taylor Swift,6/6/2015,50703,5996690,6,2015
The Rolling Stones,6/9/2015,59038,7911843,6,2015
U2,6/12/2015,68183,8469855,6,2015
Taylor Swift,6/12/2015,116850,12533166,6,2015
The Rolling Stones,6/12/2015,117567,13213297,6,2015
Kenny Chesney,6/13/2015,45530,3728449,6,2015
The Rolling Stones,6/17/2015,40944,8465082,6,2015
Luke Bryan,6/20/2015,41638,3613825,6,2015
The Rolling Stones,6/20/2015,47535,9294552,6,2015
"Kenny Chesney/Jason Aldean,,",6/20/2015,58642,6067017,6,2015
Paul McCartney,6/21/2015,15552,2755354,6,2015
The Rolling Stones,6/23/2015,50000,6187966,6,2015
U2,6/24/2015,105078,13435925,6,2015
Paul McCartney,6/26/2015,63102,4147694,6,2015
The Rolling Stones,6/27/2015,42320,7625554,6,2015
"Kenny Chesney/Jason Aldean,,",6/27/2015,46549,4765582,6,2015
