Artist,Sum of Tickets Sold Capacity,Sum of Gross
"Celine Dion,","408,407","$71,210,497.00"
"12/1/19,","13,685","$2,870,852.00"
"12/3/19,","11,633","$1,630,450.00"
"12/5/19,","12,462","$1,746,480.00"
"12/7/19,","10,487","$1,816,438.00"
"12/9/19,","26,831","$4,852,388.00"
"12/13/19,","24,661","$5,180,061.00"
"1/8/20,","11,272","$1,912,510.00"
"1/11/20,","11,212","$2,323,672.00"
"1/13/20,","13,023","$2,103,662.00"
"1/15/20,","12,749","$2,254,145.00"
"1/17/20,","24,763","$5,222,838.00"
"1/21/20,","13,458","$1,785,169.00"
"1/30/20,","13,643","$2,021,746.00"
"2/1/20,","11,569","$2,127,052.00"
"2/3/20,","12,834","$2,657,817.00"
"2/5/20,","11,004","$1,619,919.00"
"2/7/20,","12,833","$2,278,207.00"
"2/9/20,","11,452","$1,609,727.00"
"2/11/20,","12,436","$2,150,963.00"
"2/18/20,","28,257","$3,665,416.00"
"2/22/20,","11,252","$2,470,305.00"
"2/24/20,","11,181","$1,591,232.00"
"2/26/20,","13,289","$2,011,920.00"
"2/28/20,","25,577","$5,115,713.00"
"3/3/20,","10,672","$1,985,445.00"
"3/5/20,","12,543","$1,875,568.00"
"3/7/20,","23,629","$4,330,802.00"
"Eagles,","129,632","$33,552,653.00"
"2/7/20,","39,375","$8,871,615.00"
"2/14/20,","41,058","$10,707,033.00"
"2/29/20,","25,650","$7,453,138.00"
"3/6/20,","23,549","$6,520,867.00"
"Post Malone                                       Swae Lee,","205,495","$29,234,706.00"
"2/4/20,","14,501","$1,926,887.00"
"2/5/20,","13,406","$1,881,241.00"
"2/7/20,","13,387","$1,920,408.00"
"2/9/20,","14,030","$2,093,697.00"
"2/12/20,","10,924","$1,625,735.00"
"2/18/20,","12,821","$1,873,212.00"
"2/21/20,","14,862","$2,225,439.00"
"2/22/20,","8,767","$1,522,300.00"
"2/24/20,","14,283","$2,173,510.00"
"2/29/20,","13,231","$1,895,616.00"
"3/1/20,","14,210","$1,656,401.00"
"3/3/20,","9,482","$1,373,714.00"
"3/4/20,","13,838","$1,884,054.00"
"3/6/20,","12,737","$1,699,381.00"
"3/9/20,","11,914","$1,629,539.00"
"3/12/20,","13,102","$1,853,572.00"
"Andrea Bocelli,","137,614","$25,546,717.00"
"12/5/19,","13,225","$2,667,143.00"
"12/7/19,","12,241","$2,593,407.00"
"12/8/19,","10,459","$2,135,995.00"
"12/11/19,","14,137","$2,159,747.00"
"12/12/19,","12,201","$2,265,574.00"
"12/15/19,","13,288","$2,449,082.00"
"12/18/19,","28,623","$5,385,074.00"
"2/13/20,","9,577","$1,766,289.00"
"2/14/20,","13,931","$2,498,351.00"
"2/16/20,","9,932","$1,626,055.00"
"Aventura,","135,859","$18,603,721.00"
"2/5/20,","52,162","$7,131,966.00"
"2/13/20,","12,296","$1,920,593.00"
"2/14/20,","22,734","$3,308,230.00"
"3/1/20,","22,605","$3,022,752.00"
"3/3/20,","26,062","$3,220,180.00"
